title,company,location,stipend,skills,url
Prompt Engineering,Gateway Software Solutions,"Chennai, Coimbatore, Erode, Karur, Madurai, Villupuram, Namakkal, Dharmapuri, Kanchipuram, Avadi, Salem, Kanjanoor, Tiruchirappalli, Sivagangai (Hybrid)","₹ 3,000 - 12,000 /month",Python ChatGPT Gemini,https://internshala.com/internship/detail/prompt-engineering-internship-in-multiple-locations-at-gateway-software-solutions1788926119
AI Business Automation,Stanza Shipping (India) Private Limited,Delhi (Hybrid),"₹ 10,000 - 20,000 /month",Python MS-Excel REST API APIs Debugging Google Sheets ChatGPT +3 more,https://internshala.com/internship/detail/part-time-ai-business-automation-internship-in-delhi-at-stanza-shipping-india-private-limited1788840589
Machine Learning,Gateway Software Solutions,"Chennai, Coimbatore, Erode, Madurai, Tirunelveli, Tiruchengode, Kanyakumari, Namakkal, Theni, Dharmapuri, Salem, Viluppuram, Tirchy, Tamil Nadu, Dindigul (Hybrid)","₹ 6,500 - 10,000 /month",Python Machine Learning R Programming Data Science Natural Language Processing (NLP) Deep Learning Artificial intelligence,https://internshala.com/internship/detail/machine-learning-internship-in-multiple-locations-at-gateway-software-solutions1788753001
Data Science,Gateway Software Solutions,"Chennai, Coimbatore, Erode, Madurai, Tirunelveli, Kanyakumari, Vellore, Tiruppur, Kanchipuram, Salem, Viluppuram, Tamil Nadu, Tiruchirappalli, Thanjavur, Sivagangai (Hybrid)","₹ 7,500 - 12,500 /month",Python Data Science Deep Learning Artificial intelligence,https://internshala.com/internship/detail/data-science-internship-in-multiple-locations-at-gateway-software-solutions1788926193
Gen AI Artist – Concept Art & Filmmaking,AVGC,"Delhi, Greater Noida, Noida","₹ 13,000 - 20,000 /month",Video Making Image Editing Generative AI Tools AI Image Generation,https://internshala.com/internship/detail/gen-ai-artist-internship-in-multiple-locations-at-avgc1787730470
AI Research,InAmigos Foundation,Work from home,Unpaid,English Proficiency (Spoken) English Proficiency (Written),https://internshala.com/internship/detail/work-from-home-ai-research-internship-at-inamigos-foundation1788863512
AI Prompt Engineering,InAmigos Foundation,Work from home,Unpaid,Web development English Proficiency (Spoken) English Proficiency (Written),https://internshala.com/internship/detail/work-from-home-ai-prompt-engineering-internship-at-inamigos-foundation1788863485
AI & Machine Learning,InAmigos Foundation,Work from home,Unpaid,English Proficiency (Spoken) English Proficiency (Written),https://internshala.com/internship/detail/work-from-home-ai-machine-learning-internship-at-inamigos-foundation1788863544
Medical Data & AI Training - Bengali,Renan Partners,Work from home,"₹ 10,000 /month",Bengali Proficiency (Spoken) Bengali Proficiency (Written) Transcription Effective Communication Medical Terminology,https://internshala.com/internship/detail/work-from-home-medical-data-ai-training-bengali-internship-at-renan-partners1788928066
AI Filmmaking,Be Rolling Media,Delhi (Hybrid),"₹ 7,000 - 8,000 /month",Time Management Generative AI Development Generative AI Tools AI Video Generation AI Image Generation AI Voiceover,https://internshala.com/internship/detail/ai-filmmaking-internship-in-delhi-at-be-rolling-media1788152832
Content Writing,Hungama Digital Media Entertainment Private Limited,Mumbai,"₹ 5,000 - 5,001 /month",Artificial intelligence,https://internshala.com/internship/detail/content-writing-internship-in-mumbai-at-hungama-digital-media-entertainment-private-limited1788335937
AI Data Research and Knowledge Engineering,GIAN,Ahmedabad (Hybrid),"₹ 7,500 /month",Python SQL APIs Data Preparation Data Extraction Data Annotation,https://internshala.com/internship/detail/part-time-ai-data-research-and-knowledge-engineering-internship-in-ahmedabad-at-gian1788769361
AI Tech Trainer,ENpower,"Sangli, Solapur, Ahmednagar, Satara, Rahuri, Parner, Akole, Kopargaon, Baramati, Raigad, Rahata, Jamkhed, Shikrapur, Nevasa Kh. Rural, Chapadgaon","₹ 5,000 - 7,000 /month",Artificial intelligence,https://internshala.com/internship/detail/ai-tech-trainer-internship-in-multiple-locations-at-enpower1788774594
AI Consultant And Trainer,SMARRTIF AI,Delhi (Hybrid),"₹ 5,000 - 7,000 /month",Python Project Management Data Analytics Git Machine Learning MS SQL Server GitHub +10 more,https://internshala.com/internship/detail/ai-consultant-and-trainer-internship-in-delhi-at-smarrtif-ai1788770168
AI Filmmaking Associate,Aydya,Bangalore,"₹ 10,000 - 15,000 /month",Video Editing Adobe Premiere Pro Adobe After Effects AI Video Generation,https://internshala.com/internship/detail/part-time-ai-filmmaking-associate-internship-in-bangalore-at-aydya1788497029
AI Film Maker- Full Time,NKS Royaluxuria,Work from home,"₹ 18,000 - 25,000 /month",Visual Design Prompt Engineering Visual Storytelling,https://internshala.com/internship/detail/work-from-home-ai-film-maker-full-time-internship-at-nks-royaluxuria1788854164
Robotics Trainer (Mentor),KlassWAY,Lucknow,"₹ 8,000 - 10,000 /month",Python Robotics Machine Learning Teaching Embedded Systems Arduino C Programming +3 more,https://internshala.com/internship/detail/robotics-trainer-mentor-internship-in-lucknow-at-klassway1788940025
Artificial Intelligence (AI),Avallon Edtech Private Limited (AcadAlly),Delhi,"₹ 15,000 - 20,000 /month",Java Python Data Science Artificial intelligence NumPy Pandas,https://internshala.com/internship/detail/artificial-intelligence-ai-internship-in-delhi-at-avallon-edtech-private-limited-acadally1788939738
AI Developer  - SaaS Product (Pharma),MedRenova Private Limited,"Pune, Bangalore (Hybrid)","₹ 10,000 - 20,000 /month",Python Software Testing Backend development Artificial intelligence,https://internshala.com/internship/detail/ai-developer-saas-product-pharma-internship-in-multiple-locations-at-medrenova-private-limited1788930367
AI Automation,Graindigits,Pune,"₹ 5,000 - 10,000 /month",Python Git Machine Learning Natural Language Processing (NLP) APIs OpenAI API NumPy +4 more,https://internshala.com/internship/detail/ai-automation-internship-in-pune-at-graindigits1788868836
AI Fashion Stylist,Lucror,"Delhi, Noida (Hybrid)","₹ 4,000 - 6,000 /month",MS-PowerPoint Fashion Styling AI Video Generation AI Image Generation,https://internshala.com/internship/detail/part-time-ai-fashion-stylist-internship-in-multiple-locations-at-lucror1788846548
Business Development (Sales),Aiveda Technology,Delhi,"₹ 5,000 - 10,000 /month",English Proficiency (Spoken) English Proficiency (Written),https://internshala.com/internship/detail/business-development-sales-internship-in-delhi-at-aiveda-technology1788331364
Marketing & AI Systems,Subash Vijay Associates (SVA),Mumbai,"₹ 6,000 - 8,000 /month",Social Media Marketing Digital Marketing Facebook Marketing Marketing Strategy Content Marketing Artificial intelligence Instagram Marketing +3 more,https://internshala.com/internship/detail/marketing-ai-systems-internship-in-mumbai-at-subash-vijay-associates-sva1787651317
Industrial AI Engineering,NeuralFactoryAI,"Guwahati, Nagpur (Hybrid)","₹ 2,000 - 2,001 /month",Effective Communication,https://internshala.com/internship/detail/industrial-ai-engineering-internship-in-multiple-locations-at-neuralfactoryai1786675505
Machine Learning,Amrata,Work from home,"₹ 10,000 - 20,000 /month",Python Data Analytics Machine Learning R Programming Data Science Natural Language Processing (NLP) Deep Learning +1 more,https://internshala.com/internship/detail/work-from-home-machine-learning-internship-at-amrata1788932300
AI Full-Stack Developer,SUAS Enterprises,Work from home,"₹ 12,000 - 15,000 /month",JavaScript Python Git Node.js PostgreSQL GitHub REST API +5 more,https://internshala.com/internship/detail/work-from-home-ai-full-stack-developer-internship-at-suas-enterprises1788927499
Artificial Intelligence (AI),Codeatrix,Work from home,"₹ 8,000 - 20,000 /month",Python Data Structures Machine Learning Artificial intelligence,https://internshala.com/internship/detail/work-from-home-artificial-intelligence-ai-internship-at-codeatrix1788885229
Machine Learning,Codeatrix,Work from home,"₹ 7,000 - 20,000 /month",Python Machine Learning Natural Language Processing (NLP) Artificial intelligence,https://internshala.com/internship/detail/work-from-home-machine-learning-internship-at-codeatrix1788884895
Machine Learning,Jewel Box House,"Kolkata, Howrah","₹ 5,000 - 8,000 /month",CorelDRAW Machine Learning,https://internshala.com/internship/detail/machine-learning-internship-in-multiple-locations-at-jewel-box-house1788875383
Machine Learning,Pledge India Foundation,Work from home,Unpaid,Python Data Analytics Machine Learning Data Science Deep Learning Artificial intelligence,https://internshala.com/internship/detail/work-from-home-machine-learning-internship-at-pledge-india-foundation1788870580
AI Data Analytics,Pledge India Foundation,Work from home,Unpaid,English Proficiency (Spoken) English Proficiency (Written),https://internshala.com/internship/detail/work-from-home-ai-data-analytics-internship-at-pledge-india-foundation1788870238
Artificial Intelligence (AI),Queens Of Change Foundation,Work from home,Unpaid,Artificial intelligence ChatGPT Grok Deepseek Claude Gemini,https://internshala.com/internship/detail/work-from-home-artificial-intelligence-ai-internship-at-queens-of-change-foundation1788869539
AI Digital Marketing,Gharpayy,Bangalore,"₹ 10,000 - 14,000 /month",Digital Marketing Search Engine Optimization (SEO) Artificial intelligence,https://internshala.com/internship/detail/ai-digital-marketing-internship-in-bangalore-at-gharpayy1788865861
Artificial Intelligence (AI),Daten & Wissen Private Limited,Mira Bhayandar,"₹ 5,000 - 9,000 /month",Python Data Structures Machine Learning Data Science Neural Networks Natural Language Processing (NLP) Deep Learning +1 more,https://internshala.com/internship/detail/artificial-intelligence-ai-internship-in-mira-bhayandar-at-daten-wissen-private-limited1788863110
Agentic AI Developer,Idealabs Digital,Work from home,"₹ 2,000 - 16,000 /month",Python Machine Learning Node.js REST API Database Management System (DBMS),https://internshala.com/internship/detail/work-from-home-part-time-agentic-ai-developer-internship-at-idealabs-digital1788854064
Machine Learning,Qubixo,Work from home,"₹ 10,000 - 20,000 /month",Python Data Analytics Machine Learning R Programming Data Science Natural Language Processing (NLP) Deep Learning +1 more,https://internshala.com/internship/detail/work-from-home-machine-learning-internship-at-qubixo1788846463
Software Development,OBLYTECH INDIA PRIVATE LIMITED,Work from home,"₹ 10,000 /month",MySQL HTML Python Artificial Intelligence Markup Language (AIML),https://internshala.com/internship/detail/work-from-home-software-development-internship-at-oblytech-india-private-limited1788841153
Leveraging AI And Machine Learning Frameworks To Detect And Mitigate Greenwashing In Corporate ESG Reporting,International Institute Of SDGs & Public Policy Research,Work from home,Unpaid,English Proficiency (Written),https://internshala.com/internship/detail/work-from-home-part-time-leveraging-ai-and-machine-learning-frameworks-to-detect-and-mitigate-greenwashing-in-corporate-esg-reporting-internship-at-international-institute-of-sdgs-public-policy-research1788840315
AI/ML,Codeatrix,Work from home,"₹ 7,000 - 20,000 /month",Python Machine Learning Neural Networks Natural Language Processing (NLP),https://internshala.com/internship/detail/work-from-home-ai-ml-internship-at-codeatrix1788798706
Annotation Engineering,Numel,Work from home,"₹ 15,000 - 20,000 /month",English Proficiency (Spoken) English Proficiency (Written) Hindi Proficiency (Written) Telugu Proficiency (Written) Tamil Proficiency (Written) Kannada Proficiency (Written) Malayalam Proficiency (Written) +7 more,https://internshala.com/internship/detail/work-from-home-part-time-annotation-engineering-internship-at-numel1788796591
AI Agent Development,"Therapy At Home. Milwaukee, Wisconsin, United States Of America.",Hyderabad,"₹ 20,000 - 45,000 /month",CSS Python Data Engineering,https://internshala.com/internship/detail/ai-agent-development-internship-in-hyderabad-at-therapy-at-home-milwaukee-wisconsin-united-states-of-america1788787572
Artificial Intelligence (AI),Women First India Foundation,Work from home,Unpaid,Python Data Structures Machine Learning Data Science Neural Networks English Proficiency (Spoken) Natural Language Processing (NLP) +5 more,https://internshala.com/internship/detail/work-from-home-part-time-artificial-intelligence-ai-internship-at-women-first-india-foundation1788785640
AI Data Alignment,Zyno AI India Private Limited,Work from home,"₹ 20,000 - 25,000 /month",English Proficiency (Spoken),https://internshala.com/internship/detail/work-from-home-ai-data-alignment-internship-at-zyno-ai-india-private-limited1788785451
Data Science,Women First India Foundation,Work from home,Unpaid,Python SQL Data Analytics Machine Learning Data Science Natural Language Processing (NLP) Deep Learning +1 more,https://internshala.com/internship/detail/work-from-home-data-science-internship-at-women-first-india-foundation1788783616
Data Science,Queens Of Change Foundation,Work from home,Unpaid,HTML Python SQL Data Analytics Data Science Deep Learning Artificial intelligence,https://internshala.com/internship/detail/work-from-home-data-science-internship-at-queens-of-change-foundation1788783049
